series,event_name,circuit,location,date_start,date_end,time_start,time_end,duration,session_type,timezone,notes
GTWCA,GTWCA Sebring - Race,Sebring International Raceway,"Sebring, FL, USA",2026-05-09,2026-05-10,,,3h,Race,America/New_York,Round 3
WEC,6 Hours of Spa - Race,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-05-09,2026-05-09,13:00,19:00,6h,Race,Europe/Brussels,Round 2
GTWCAus,GTWC Australia - Race 3,The Bend Motorsport Park,"Tailem Bend, South Australia",2026-05-09,2026-05-09,,,,Race,Australia/Adelaide,
GTAmerica,GT America Sebring - Race 2,Sebring International Raceway,"Sebring, FL, USA",2026-05-10,2026-05-10,,,40min,Race,America/New_York,Round 6
GTWCAus,GTWC Australia - Race 4,The Bend Motorsport Park,"Tailem Bend, South Australia",2026-05-10,2026-05-10,,,,Race,Australia/Adelaide,
IGTC,24 Hours of Nurburgring - Top Qualifying,Nurburgring Nordschleife,"Nurburg, Germany",2026-05-15,2026-05-15,8:50,14:30,~30min,Qualifying,Europe/Berlin,Max Verstappen competing - 3-stage Top Qualifying for SP9/SP-X classes
IGTC,24 Hours of Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-05-16,2026-05-17,15:00,15:00,24h,Race,Europe/Berlin,Max Verstappen competing - IGTC Rd2 - 25.378 km Nordschleife - 150+ cars
DTM,DTM Zandvoort - Qualifying 1,Circuit Zandvoort,"Zandvoort, Netherlands",2026-05-23,2026-05-23,10:05,10:25,20min,Qualifying,Europe/Amsterdam,
DTM,DTM Zandvoort - Race 1,Circuit Zandvoort,"Zandvoort, Netherlands",2026-05-23,2026-05-23,13:30,14:30,Sprint,Race,Europe/Amsterdam,Race 1
DTM,DTM Zandvoort - Qualifying 2,Circuit Zandvoort,"Zandvoort, Netherlands",2026-05-24,2026-05-24,10:05,10:25,20min,Qualifying,Europe/Amsterdam,
DTM,DTM Zandvoort - Race 2,Circuit Zandvoort,"Zandvoort, Netherlands",2026-05-24,2026-05-24,13:30,14:30,Sprint,Race,Europe/Amsterdam,Race 2
BritishGT,British GT Oulton Park - Race 1,Oulton Park,"Cheshire, UK",2026-05-25,2026-05-25,,,1h,Race,Europe/London,Bank Holiday Monday - Race 1
BritishGT,British GT Oulton Park - Race 2,Oulton Park,"Cheshire, UK",2026-05-25,2026-05-25,,,1h,Race,Europe/London,Bank Holiday Monday - Race 2
IMSA,Detroit Grand Prix - Qualifying,Detroit Street Circuit,"Detroit, MI, USA",2026-05-29,2026-05-29,,,~75min,Qualifying,America/Detroit,Times TBC
GTWCE,GTWCE Monza 3h - Qualifying,Autodromo Nazionale Monza,"Monza, Italy",2026-05-30,2026-05-30,9:50,10:50,1h,Qualifying,Europe/Rome,Endurance Cup Rd2
IMSA,Detroit Grand Prix - Race,Detroit Street Circuit,"Detroit, MI, USA",2026-05-30,2026-05-30,,,100min,Race,America/Detroit,Times TBC
GTWCE,GTWCE Monza 3h - Race,Autodromo Nazionale Monza,"Monza, Italy",2026-05-31,2026-05-31,15:00,18:00,3h,Race,Europe/Rome,Endurance Cup Rd2
24HSeries,Michelin 12H Paul Ricard - Qualifying,Circuit Paul Ricard,"Le Castellet, France",2026-06-05,2026-06-05,,,~1h,Qualifying,Europe/Paris,
GTWCAsia,GTWC Asia Shanghai - Race 1,Shanghai International Circuit,"Shanghai, China",2026-06-05,2026-06-05,,,1h,Race,Asia/Shanghai,Round 5 - returns after 1-year hiatus
24HSeries,Michelin 12H Paul Ricard - Race,Circuit Paul Ricard,"Le Castellet, France",2026-06-06,2026-06-07,,,12h,Race,Europe/Paris,European Series Rd3
GTWCAsia,GTWC Asia Shanghai - Race 2,Shanghai International Circuit,"Shanghai, China",2026-06-06,2026-06-06,,,1h,Race,Asia/Shanghai,Round 6 - adjusted for exam season
WEC,24 Hours of Le Mans - Hyperpole,Circuit de la Sarthe,"Le Mans, France",2026-06-11,2026-06-11,,,~30min,Qualifying,Europe/Paris,Hyperpole sessions TBC
GTAmerica,GT America Road Atlanta - Race 1,Road Atlanta,"Braselton, GA, USA",2026-06-13,2026-06-13,,,40min,Race,America/New_York,Round 7
GTWCA,GTWCA Road Atlanta - Race,Road Atlanta,"Braselton, GA, USA",2026-06-13,2026-06-14,,,3h,Race,America/New_York,Round 4 - first since 2011
WEC,24 Hours of Le Mans - Race,Circuit de la Sarthe,"Le Mans, France",2026-06-13,2026-06-14,16:00,,24h,Race,Europe/Paris,Round 3 - starts 4pm Saturday
GTWCAus,GTWC Australia - Race 5,Queensland Raceway,"Ipswich, Queensland",2026-06-13,2026-06-13,,,,Race,Australia/Sydney,
GTAmerica,GT America Road Atlanta - Race 2,Road Atlanta,"Braselton, GA, USA",2026-06-14,2026-06-14,,,40min,Race,America/New_York,Round 8
GTWCAus,GTWC Australia - Race 6,Queensland Raceway,"Ipswich, Queensland",2026-06-14,2026-06-14,,,,Race,Australia/Sydney,
BritishGT,British GT Spa - Qualifying,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-06-20,2026-06-20,,,~20min,Qualifying,Europe/Brussels,Joint w/ FFSA GT - week before Spa 24h
DTM,DTM Lausitzring - Qualifying 1,Lausitzring,"Klettwitz, Germany",2026-06-20,2026-06-20,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Lausitzring - Race 1,Lausitzring,"Klettwitz, Germany",2026-06-20,2026-06-20,13:30,14:30,Sprint,Race,Europe/Berlin,Race 1
NLS,NLS Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-06-20,2026-06-20,12:00,16:00,4h,Race,Europe/Berlin,NLS6
SuperGT,Super GT Sepang - Qualifying,Sepang International Circuit,"Kuala Lumpur, Malaysia",2026-06-20,2026-06-20,,,~1h,Qualifying,Asia/Kuala_Lumpur,International round; POSTPONED - Sepang round delayed to 2027 or later due to geopolitical situation
BritishGT,British GT Spa - Race,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-06-21,2026-06-21,,,2h,Race,Europe/Brussels,International round - reduced from 3h
DTM,DTM Lausitzring - Qualifying 2,Lausitzring,"Klettwitz, Germany",2026-06-21,2026-06-21,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Lausitzring - Race 2,Lausitzring,"Klettwitz, Germany",2026-06-21,2026-06-21,13:30,14:30,Sprint,Race,Europe/Berlin,Race 2
SuperGT,Super GT Sepang - Race,Sepang International Circuit,"Kuala Lumpur, Malaysia",2026-06-21,2026-06-21,15:00,,300km,Race,Asia/Kuala_Lumpur,Round 3 - moved to avoid Spa 24h clash; POSTPONED - Sepang round delayed to 2027 or later due to geopolitical situation
GTWCE,24 Hours of Spa - Qualifying,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-06-25,2026-06-26,15:24,15:55,30min,Qualifying,Europe/Brussels,Superpole
GTWCE,24 Hours of Spa - Race,Circuit de Spa-Francorchamps,"Stavelot, Belgium",2026-06-27,2026-06-28,16:30,,24h,Race,Europe/Brussels,Starts 4:30 PM - Crown jewel 4x points
IMSA,Sahlen's 6 Hours of the Glen - Qualifying,Watkins Glen International,"Watkins Glen, NY, USA",2026-06-27,2026-06-27,,,~75min,Qualifying,America/New_York,Times TBC
IMSA,Sahlen's 6 Hours of the Glen - Race,Watkins Glen International,"Watkins Glen, NY, USA",2026-06-28,2026-06-28,10:40,16:40,6h,Race,America/New_York,Endurance Cup round
24HSeries,Michelin 12H Nurburgring - Qualifying,Nurburgring (GP + Nordschleife),"Nurburg, Germany",2026-07-03,2026-07-03,,,~1h,Qualifying,Europe/Berlin,Combined GP + Nordschleife layout
24HSeries,Michelin 12H Nurburgring - Race,Nurburgring (GP + Nordschleife),"Nurburg, Germany",2026-07-04,2026-07-05,,,12h,Race,Europe/Berlin,European Series Rd4
DTM,DTM Norisring - Qualifying 1,Norisring,"Nuremberg, Germany",2026-07-04,2026-07-04,10:05,10:25,20min,Qualifying,Europe/Berlin,Street circuit
DTM,DTM Norisring - Race 1,Norisring,"Nuremberg, Germany",2026-07-04,2026-07-04,13:30,14:30,Sprint,Race,Europe/Berlin,Race 1
DTM,DTM Norisring - Qualifying 2,Norisring,"Nuremberg, Germany",2026-07-05,2026-07-05,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Norisring - Race 2,Norisring,"Nuremberg, Germany",2026-07-05,2026-07-05,13:30,14:30,Sprint,Race,Europe/Berlin,Race 2
GTWCAsia,GTWC Asia Fuji - Race 1,Fuji International Speedway,"Oyama, Japan",2026-07-11,2026-07-11,,,1h,Race,Asia/Tokyo,Round 7
IMSA,Chevrolet Grand Prix - Qualifying,Canadian Tire Motorsport Park,"Bowmanville, ON, Canada",2026-07-11,2026-07-11,,,~75min,Qualifying,America/Toronto,Times TBC
WEC,6 Hours of Sao Paulo - Qualifying,Autodromo Jose Carlos Pace,"Sao Paulo, Brazil",2026-07-11,2026-07-11,,,~30min,Qualifying,America/Sao_Paulo,Times TBC
GTWCAsia,GTWC Asia Fuji - Race 2,Fuji International Speedway,"Oyama, Japan",2026-07-12,2026-07-12,,,1h,Race,Asia/Tokyo,Round 8
IMSA,Chevrolet Grand Prix - Race,Canadian Tire Motorsport Park,"Bowmanville, ON, Canada",2026-07-12,2026-07-12,,,2h40min,Race,America/Toronto,LMP2 + GTD PRO + GTD only
WEC,6 Hours of Sao Paulo - Race,Autodromo Jose Carlos Pace,"Sao Paulo, Brazil",2026-07-12,2026-07-12,11:00,17:00,6h,Race,America/Sao_Paulo,Round 4
GTWCE,GTWCE Misano Sprint - Race 1,Misano World Circuit,"Misano Adriatico, Italy",2026-07-18,2026-07-18,20:30,21:30,1h,Race,Europe/Rome,Sprint Cup Rd3 - Race 1
GTWCE,GTWCE Misano Sprint - Race 2,Misano World Circuit,"Misano Adriatico, Italy",2026-07-19,2026-07-19,14:30,15:30,1h,Race,Europe/Rome,Sprint Cup Rd3 - Race 2
DTM,DTM Oschersleben - Qualifying 1,Motorsport Arena Oschersleben,"Oschersleben, Germany",2026-07-25,2026-07-25,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Oschersleben - Race 1,Motorsport Arena Oschersleben,"Oschersleben, Germany",2026-07-25,2026-07-25,13:30,14:30,Sprint,Race,Europe/Berlin,Race 1
GTWCAus,GTWC Australia - Race 7,Hidden Valley Raceway,"Darwin, Northern Territory",2026-07-25,2026-07-25,,,,Race,Australia/Eucla,
DTM,DTM Oschersleben - Qualifying 2,Motorsport Arena Oschersleben,"Oschersleben, Germany",2026-07-26,2026-07-26,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Oschersleben - Race 2,Motorsport Arena Oschersleben,"Oschersleben, Germany",2026-07-26,2026-07-26,13:30,14:30,Sprint,Race,Europe/Berlin,Race 2
GTWCAus,GTWC Australia - Race 8,Hidden Valley Raceway,"Darwin, Northern Territory",2026-07-26,2026-07-26,,,,Race,Australia/Eucla,
GTWCE,GTWCE Magny-Cours Sprint - Race 1,Circuit de Nevers Magny-Cours,"Magny-Cours, France",2026-08-01,2026-08-01,21:15,22:15,1h,Race,Europe/Paris,Sprint Cup Rd4 - Race 1
IMSA,IMSA SportsCar Weekend - Qualifying,Road America,"Elkhart Lake, WI, USA",2026-08-01,2026-08-01,,,~75min,Qualifying,America/Chicago,Times TBC
NLS,NLS Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-08-01,2026-08-01,12:00,16:00,4h,Race,Europe/Berlin,NLS7
SuperGT,Super GT Fuji 2 - Qualifying,Fuji Speedway,"Oyama, Japan",2026-08-01,2026-08-01,,,~1h,Qualifying,Asia/Tokyo,
GTWCE,GTWCE Magny-Cours Sprint - Race 2,Circuit de Nevers Magny-Cours,"Magny-Cours, France",2026-08-02,2026-08-02,15:30,16:30,1h,Race,Europe/Paris,Sprint Cup Rd4 - Race 2
IMSA,IMSA SportsCar Weekend - Race,Road America,"Elkhart Lake, WI, USA",2026-08-02,2026-08-02,,,6h,Race,America/Chicago,New 6h format for 2026 - Endurance Cup
SuperGT,Super GT Fuji 2 - Race,Fuji Speedway,"Oyama, Japan",2026-08-02,2026-08-02,14:00,,300km,Race,Asia/Tokyo,Round 4
BritishGT,British GT Snetterton - Race 1,Snetterton Circuit,"Norwich, UK",2026-08-15,2026-08-15,,,1h,Race,Europe/London,Race 1
DTM,DTM Nurburgring - Qualifying 1,Nurburgring,"Nurburg, Germany",2026-08-15,2026-08-15,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Nurburgring - Race 1,Nurburgring,"Nurburg, Germany",2026-08-15,2026-08-15,13:30,14:30,Sprint,Race,Europe/Berlin,Race 1
BritishGT,British GT Snetterton - Race 2,Snetterton Circuit,"Norwich, UK",2026-08-16,2026-08-16,,,1h,Race,Europe/London,Race 2
DTM,DTM Nurburgring - Qualifying 2,Nurburgring,"Nurburg, Germany",2026-08-16,2026-08-16,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Nurburgring - Race 2,Nurburgring,"Nurburg, Germany",2026-08-16,2026-08-16,13:30,14:30,Sprint,Race,Europe/Berlin,Race 2
GTWCAus,GTWC Australia - Race 9,Sydney Motorsport Park,"Eastern Creek, New South Wales",2026-08-19,2026-08-19,,,,Race,Australia/Sydney,
GTWCAus,GTWC Australia - Race 10,Sydney Motorsport Park,"Eastern Creek, New South Wales",2026-08-20,2026-08-20,,,,Race,Australia/Sydney,
IMSA,Michelin GT Challenge - Qualifying,VIRginia International Raceway,"Alton, VA, USA",2026-08-22,2026-08-22,,,~75min,Qualifying,America/New_York,Times TBC
SuperGT,Super GT Suzuka - Qualifying,Suzuka Circuit,"Suzuka, Japan",2026-08-22,2026-08-22,,,~1h,Qualifying,Asia/Tokyo,
IMSA,Michelin GT Challenge - Race,VIRginia International Raceway,"Alton, VA, USA",2026-08-23,2026-08-23,,,2h40min,Race,America/New_York,GTD PRO + GTD only
SuperGT,Super GT Suzuka - Race,Suzuka Circuit,"Suzuka, Japan",2026-08-23,2026-08-23,14:00,,300km,Race,Asia/Tokyo,Round 5
GTAmerica,GT America Road America - Race 1,Road America,"Elkhart Lake, WI, USA",2026-08-29,2026-08-29,,,40min,Race,America/Chicago,Round 9
GTWCA,GTWCA Road America - Race,Road America,"Elkhart Lake, WI, USA",2026-08-29,2026-08-30,,,3h,Race,America/Chicago,Round 5
GTWCAsia,GTWC Asia Okayama - Race 1,Okayama International Circuit,"Mimasaka, Japan",2026-08-29,2026-08-29,,,1h,Race,Asia/Tokyo,Round 9 - SRO GT PowerTour
GTWCE,GTWCE Nurburgring 3h - Qualifying,Nurburgring,"Nurburg, Germany",2026-08-29,2026-08-29,10:20,11:20,1hr,Qualifying,Europe/Berlin,Endurance Cup Rd3
GTAmerica,GT America Road America - Race 2,Road America,"Elkhart Lake, WI, USA",2026-08-30,2026-08-30,,,40min,Race,America/Chicago,Round 10
GTWCAsia,GTWC Asia Okayama - Race 2,Okayama International Circuit,"Mimasaka, Japan",2026-08-30,2026-08-30,,,1h,Race,Asia/Tokyo,Round 10
GTWCE,GTWCE Nurburgring 3h - Race,Nurburgring,"Nurburg, Germany",2026-08-30,2026-08-30,15:00,18:00,3h,Race,Europe/Berlin,Endurance Cup Rd3 - triple header weekend
BritishGT,British GT Donington - Qualifying,Donington Park,"Castle Donington, UK",2026-09-05,2026-09-05,,,~20min,Qualifying,Europe/London,
WEC,Lone Star Le Mans - Qualifying,Circuit of the Americas,"Austin, TX, USA",2026-09-05,2026-09-05,,,~30min,Qualifying,America/Chicago,Times TBC
BritishGT,British GT Donington - Race,Donington Park,"Castle Donington, UK",2026-09-06,2026-09-06,,,2h,Race,Europe/London,2h format confirmed
WEC,Lone Star Le Mans - Race,Circuit of the Americas,"Austin, TX, USA",2026-09-06,2026-09-06,12:00,18:00,6h,Race,America/Chicago,Round 5
DTM,DTM Sachsenring - Qualifying 1,Sachsenring,"Hohenstein-Ernstthal, Germany",2026-09-12,2026-09-12,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Sachsenring - Race 1,Sachsenring,"Hohenstein-Ernstthal, Germany",2026-09-12,2026-09-12,13:30,14:30,Sprint,Race,Europe/Berlin,Race 1
IGTC,Suzuka 1000km - Qualifying,Suzuka Circuit,"Suzuka, Japan",2026-09-12,2026-09-12,,,~30min,Qualifying,Asia/Tokyo,IGTC Rd4 - Times TBC
NLS,NLS Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-09-12,2026-09-12,12:00,16:00,4h,Race,Europe/Berlin,NLS8
DTM,DTM Sachsenring - Qualifying 2,Sachsenring,"Hohenstein-Ernstthal, Germany",2026-09-13,2026-09-13,10:05,10:25,20min,Qualifying,Europe/Berlin,
DTM,DTM Sachsenring - Race 2,Sachsenring,"Hohenstein-Ernstthal, Germany",2026-09-13,2026-09-13,13:30,14:30,Sprint,Race,Europe/Berlin,Race 2
IGTC,Suzuka 1000km - Race,Suzuka Circuit,"Suzuka, Japan",2026-09-13,2026-09-13,,,1000km,Race,Asia/Tokyo,Returns to IGTC after 6-year hiatus
NLS,NLS Nurburgring - Race,Nurburgring Nordschleife,"Nurburg, Germany",2026-09-13,2026-09-13,12:00,16:00,4h,Race,Europe/Berlin,NLS9
24HSeries,Michelin 24H Barcelona - Qualifying,Circuit de Barcelona-Catalunya,"Barcelona, Spain",2026-09-18,2026-09-18,,,~1h,Qualifying,Europe/Madrid,Series finale
